specialty,symptoms
Hematology,burning excessive bleeding
Orthopedics,sudden fracture pain
Dermatology,hives with weakness
Psychiatry,alternating suicidal thoughts and persistent sadness
Orthopedics,severe limb weakness
Dermatology,blisters with sensory loss
Neurology,alternating weakness and headache
Cardiology,intermittent palpitations
Ophthalmology,moderate blurred vision
Neurology,progressive migraine
Endocrinology,recurrent frequent urination
Gynecology,menstrual cramps at night
Gynecology,mild infertility
Neurology,worse in the morning: blurred vision
Hematology,moderate swollen lymph nodes
ENT,ear pain accompanied by swelling
Neurology,tingling and dizziness
Ophthalmology,intermittent floaters
Pediatrics,intermittent episodes of vomiting child
Psychiatry,panic attacks with fever
Dermatology,sudden hives
Cardiology,chest pain for 2 days
Pediatrics,worse when lying down: lethargy in infant
Ophthalmology,intermittent blurred vision
Pulmonology,chronic cough for 2 weeks
ENT,recurrent swallowing difficulty
Endocrinology,frequent urination for a week
Gastroenterology,throbbing diarrhea
Pulmonology,exercise-induced wheeze for a month
Gastroenterology,sudden abdominal pain
Neurology,moderate blurred vision
Neurology,memory loss for a month
Oncology,sudden onset of loss of appetite
Hematology,blood in stool
Pediatrics,delayed milestones with nausea
Neurology,blurred vision and fainting
Cardiology,chest pain in the morning
ENT,sinus pressure with blood
Neurology,dizziness with associated seizures
Cardiology,sudden onset of leg edema
Ophthalmology,sensitivity to light with sensory loss
Pediatrics,progressive lethargy in infant and not gaining weight
Pediatrics,burning diarrhea child
Psychiatry,loss of interest and fainting
Dermatology,mild skin rash
Dermatology,sun sensitivity for several weeks
Cardiology,shortness of breath during hot weather
Psychiatry,severe panic attacks
Oncology,worse in the morning: unexplained weight loss
Cardiology,chronic rapid heartbeat
Pediatrics,not gaining weight for a month
Orthopedics,mild difficulty walking
Ophthalmology,intermittent red eye
Endocrinology,progressive cold intolerance and cold intolerance
Gynecology,worse in the morning: pain during intercourse
Orthopedics,constant shoulder pain
Pulmonology,severe coughing blood
Pulmonology,intermittent exercise-induced wheeze
Gynecology,intermittent heavy menstrual bleeding
Dermatology,sudden onset of dry skin
Gastroenterology,bloating for 2 days
Cardiology,intermittent irregular heartbeat
Gastroenterology,vomiting for 2 days
Dermatology,skin rash accompanied by redness
Orthopedics,intermittent shoulder pain
Oncology,chronic pain during exercise
Neurology,tingling for 3 days
Cardiology,chronic chest tightness
Gynecology,heavy menstrual bleeding accompanied by swelling
Gynecology,heavy menstrual bleeding with fever
Orthopedics,sharp back pain
Hematology,severe swollen lymph nodes
Endocrinology,constant excessive thirst
Ophthalmology,alternating dry eyes and blurred vision
Cardiology,sudden onset of rapid heartbeat
Pediatrics,vomiting child with fever
Gastroenterology,alternating acid reflux and nausea
Pediatrics,moderate lethargy in infant
Endocrinology,excessive thirst for 2 days
Oncology,mild difficulty swallowing
Psychiatry,suicidal thoughts for a week
Gastroenterology,abdominal pain with associated blood in stool
Oncology,persistent fever at night
ENT,tonsil inflammation during hot weather
Orthopedics,difficulty walking worsening over time
Gynecology,menstrual cramps with associated pain during intercourse
Cardiology,chest tightness and swelling in legs
Pulmonology,wheezing for 2 days
Gynecology,constant irregular periods
ENT,nasal congestion accompanied by swelling
Pediatrics,fever in child accompanied by swelling
Gynecology,recurrent pelvic pain
Ophthalmology,blurred vision with associated double vision
Pediatrics,severe diarrhea child
ENT,tonsil inflammation with fever
Pulmonology,wheezing for several weeks
Neurology,migraine after eating
Hematology,moderate easy bruising
Dermatology,intermittent episodes of sun sensitivity
Endocrinology,excessive thirst for several days
Orthopedics,progressive joint swelling and back pain
ENT,ear pain and fainting
Pulmonology,alternating breathing difficulty at night and chest tightness
Psychiatry,severe persistent sadness
Pulmonology,exercise-induced wheeze with associated shortness of breath on exertion
Dermatology,severe skin discoloration
Orthopedics,limb weakness with associated bone pain
Dermatology,red patches and fainting
Cardiology,leg edema and shortness of breath
Psychiatry,compulsive behaviors for 2 days
Pediatrics,mild vomiting child
Ophthalmology,blurred vision for a week
Endocrinology,intermittent menstrual irregularity
Neurology,recurrent migraine
Psychiatry,persistent sadness for 2 weeks
ENT,intermittent tonsil inflammation
Neurology,seizures for 2 days
Dermatology,intermittent hives
ENT,hearing loss for 2 days
Hematology,nosebleeds and fainting
ENT,progressive runny nose and runny nose
Psychiatry,insomnia
Cardiology,dizziness for 3 days
Endocrinology,cold intolerance and dizziness
Oncology,intermittent loss of appetite
Psychiatry,compulsive behaviors and suicidal thoughts
Pulmonology,sudden chest tightness
Dermatology,scaly skin worsening over time
Pediatrics,delayed milestones with sensory loss
Psychiatry,worse in the morning: compulsive behaviors
Pediatrics,high-pitched cry for a week
Pediatrics,cough in child with blood
Cardiology,rapid heartbeat for several days
Orthopedics,shoulder pain accompanied by swelling
Gastroenterology,nausea for a week
Ophthalmology,recurrent floaters
Cardiology,fainting for several weeks
Endocrinology,weight loss with nausea
Neurology,recurrent numbness
Dermatology,mild acne
Ophthalmology,floaters and sudden vision loss
Endocrinology,severe fatigue
Gastroenterology,progressive blood in stool and acid reflux
Oncology,moderate loss of appetite
Dermatology,intermittent skin rash
ENT,ear pain accompanied by redness
Gynecology,moderate pelvic pain
Pediatrics,cough in child since last night
Ophthalmology,recurrent red eye
Psychiatry,panic attacks worsening over time
ENT,sinus pressure with sensory loss
ENT,sudden hearing loss
Hematology,severe fatigue with anemia
Gynecology,recurrent menstrual cramps
Endocrinology,recurrent excessive thirst
Psychiatry,loss of interest and dizziness
Neurology,tingling with vomiting
Endocrinology,sudden onset of frequent urination
Pediatrics,high-pitched cry that prevents sleep
Gastroenterology,vomiting for 3 days
Oncology,sudden onset of difficulty swallowing
Orthopedics,chronic hip pain
Psychiatry,worse in the morning: memory problems from depression
Cardiology,rapid heartbeat in the morning
Ophthalmology,tearing and fainting
Orthopedics,recurrent joint swelling
Pulmonology,productive cough for a week
ENT,sore throat after cold exposure
Gynecology,infertility with discharge
Psychiatry,insomnia and memory problems from depression
Oncology,night sweats for a week
Hematology,swollen lymph nodes for 2 weeks
Gastroenterology,vomiting after eating
Neurology,weakness for a month
Oncology,blood in cough with vomiting
Cardiology,throbbing palpitations
Endocrinology,worse in the morning: excessive thirst
Pulmonology,coughing blood for a month
Ophthalmology,sensitivity to light for a month
Pulmonology,recurrent breathing difficulty at night
Cardiology,shortness of breath for 3 days
Orthopedics,back pain with weakness
Pulmonology,intermittent recurrent lung infection
Psychiatry,loss of interest at rest
Gynecology,menstrual cramps with associated postmenopausal bleeding
ENT,constant runny nose
Pediatrics,rash in child at rest
Orthopedics,difficulty walking for 2 weeks
Dermatology,dry skin for 3 days
Dermatology,skin rash that prevents sleep
Gastroenterology,blood in stool with fever
Hematology,progressive easy bruising
Gastroenterology,stomach pain for a month
Psychiatry,insomnia for several weeks
Oncology,progressive skin changes and blood in cough
Psychiatry,mild loss of interest
Pediatrics,alternating not gaining weight and cough in child
Cardiology,rapid heartbeat for 3 days
Oncology,persistent lumps for 2 weeks
ENT,sore throat with sensory loss
Hematology,fatigue with anemia for a month
Neurology,numbness in the morning
Gynecology,pelvic pain that prevents sleep
Psychiatry,worse in the morning: loss of interest
Pulmonology,constant breathing difficulty at night
Ophthalmology,progressive sudden vision loss
Pulmonology,chest tightness and dizziness
Pediatrics,lethargy in infant for 2 weeks
Dermatology,skin discoloration at night
Ophthalmology,moderate sensitivity to light
Endocrinology,weight gain in the morning
Ophthalmology,floaters after cold exposure
ENT,swallowing difficulty accompanied by redness
Gynecology,menstrual cramps for several days
Pulmonology,wheezing that prevents sleep
Neurology,memory loss after eating
Pulmonology,moderate shortness of breath on exertion
Endocrinology,fatigue accompanied by swelling
Neurology,migraine at rest
ENT,recurrent ear pain
ENT,swallowing difficulty during exercise
Orthopedics,joint stiffness for 2 weeks
Gastroenterology,nausea accompanied by swelling
ENT,moderate hearing loss
Hematology,moderate pale skin
Endocrinology,alternating fatigue and heat intolerance
Endocrinology,weight gain during hot weather
Cardiology,fainting after cold exposure
Gynecology,pain during intercourse for several days
Hematology,recurrent night sweats
Endocrinology,gradual onset of weight loss
Pulmonology,constant wheezing
Cardiology,irregular heartbeat worsening over time
Oncology,unexplained fatigue in the morning
Gastroenterology,diarrhea with associated constipation
Pediatrics,fever in child and dizziness
Gynecology,mild postmenopausal bleeding
Dermatology,throbbing skin discoloration
Oncology,unexplained weight loss during hot weather
Endocrinology,heat intolerance with blood
Gynecology,burning breast lump
Orthopedics,sharp limb weakness
Pediatrics,rash in child during hot weather
Orthopedics,fracture pain during exercise
Neurology,intermittent speech difficulty
Ophthalmology,red eye that prevents sleep
Cardiology,recurrent chest tightness
Oncology,difficulty swallowing for several weeks
Pulmonology,productive cough with associated persistent cough
Endocrinology,weight loss for several days
Dermatology,hives with associated dry skin
Hematology,swollen lymph nodes and pale skin
ENT,alternating sore throat and sore throat
Orthopedics,difficulty walking for a month
Ophthalmology,intermittent eye pain
Orthopedics,severe shoulder pain
Cardiology,dizziness during exercise
ENT,burning ear pain
Cardiology,palpitations with sensory loss
Hematology,pale skin with associated easy bruising
Endocrinology,frequent urination with nausea
Gynecology,progressive postmenopausal bleeding
Dermatology,skin rash and dizziness
Hematology,burning fatigue with anemia
Ophthalmology,sensitivity to light after eating
Pulmonology,breathing difficulty at night in the morning
Oncology,blood in cough in the morning
Gastroenterology,nausea accompanied by redness
Pulmonology,shortness of breath on exertion and fainting
Dermatology,burning hives
Neurology,numbness accompanied by redness
Hematology,severe easy bruising
Endocrinology,hair loss for a month
ENT,tonsil inflammation for 2 weeks
ENT,mild voice change
Ophthalmology,sensitivity to light with associated eye discharge
Psychiatry,memory problems from depression and dizziness
Cardiology,chronic dizziness
Neurology,recurrent memory loss
Hematology,swollen lymph nodes
Hematology,blood in stool for a month
Psychiatry,constant insomnia
Neurology,mild speech difficulty
Hematology,fatigue with anemia for 3 days
Psychiatry,insomnia for a week
ENT,nasal congestion
Neurology,migraine for several weeks
Orthopedics,back pain for 2 days
Dermatology,skin discoloration for several days
Gynecology,infertility accompanied by redness
Pediatrics,intermittent high-pitched cry
Pediatrics,fever in child at rest
Ophthalmology,throbbing blurred vision
Oncology,constant unexplained weight loss
Dermatology,red patches worsening over time
Neurology,seizures with nausea
Cardiology,burning chest pain
Oncology,intermittent persistent fever
Ophthalmology,mild sudden vision loss
ENT,tonsil inflammation for a week
Pediatrics,progressive not gaining weight and high-pitched cry
Oncology,moderate unexplained fatigue
Pediatrics,alternating delayed milestones and lethargy in infant
Hematology,excessive bleeding for several weeks
Psychiatry,anxiety attacks for several weeks
Gastroenterology,sharp vomiting
Pulmonology,severe chest tightness
Gastroenterology,stomach pain since last night
Cardiology,progressive shortness of breath
Dermatology,hives with vomiting
Psychiatry,mood swings for a month
Gastroenterology,vomiting with vomiting
Cardiology,palpitations and irregular heartbeat
Pulmonology,recurrent lung infection since last night
Oncology,difficulty swallowing after cold exposure
Dermatology,dry skin for a week
Pediatrics,not gaining weight for 2 weeks
Psychiatry,severe memory problems from depression
ENT,voice change accompanied by redness
Gynecology,pelvic pressure at rest
ENT,sinus pressure with nausea
Gynecology,infertility since last night
Pediatrics,moderate cough in child
Gynecology,improved with rest: infertility
Endocrinology,fatigue for a week
Neurology,intermittent tingling
Hematology,night sweats and night sweats
Endocrinology,throbbing menstrual irregularity
Pediatrics,diarrhea child accompanied by redness
Endocrinology,sudden fatigue
Hematology,improved with rest: frequent infections
Neurology,memory loss during hot weather
Gynecology,moderate heavy menstrual bleeding
Ophthalmology,floaters during hot weather
Pediatrics,mild poor feeding
Pediatrics,lethargy in infant with fever
Neurology,gradual onset of seizures
Ophthalmology,eye pain accompanied by swelling
Gynecology,pain during intercourse for 3 days
Pediatrics,not gaining weight with sensory loss
Cardiology,shortness of breath since last night
Neurology,weakness accompanied by swelling
Dermatology,dry skin for a month
Psychiatry,progressive memory problems from depression and anxiety attacks
Gastroenterology,severe vomiting
Psychiatry,panic attacks with weakness
Pediatrics,cough in child
Cardiology,palpitations after cold exposure
Oncology,persistent lumps with blood
Oncology,burning unexplained fatigue
Dermatology,scaly skin that prevents sleep
Gastroenterology,bloating and bloating
Endocrinology,weight gain accompanied by redness
Gynecology,alternating vaginal discharge and pain during intercourse
Endocrinology,excessive thirst accompanied by swelling
Psychiatry,suicidal thoughts and dizziness
ENT,runny nose after eating
Orthopedics,difficulty walking since last night
Gynecology,sudden pelvic pain
Gastroenterology,worse in the morning: bloating
Neurology,dizziness for 2 weeks
Dermatology,severe hives
ENT,sore throat and dizziness
Psychiatry,mood swings at night
Psychiatry,recurrent anxiety attacks
Ophthalmology,moderate sudden vision loss
Hematology,nosebleeds with nausea
Dermatology,severe red patches
Gynecology,progressive pelvic pain and menstrual cramps
Pediatrics,cough in child and fainting
Neurology,blurred vision for 3 days
Dermatology,dry skin accompanied by swelling
Hematology,fatigue with anemia with fever
Psychiatry,mood swings worsening over time
ENT,hearing loss and fainting
Dermatology,sun sensitivity and dizziness
Neurology,headache that prevents sleep
Pediatrics,worse in the morning: rash in child
ENT,voice change and runny nose
Neurology,memory loss with sensory loss
Pulmonology,moderate breathing difficulty at night
Hematology,pale skin with nausea
Neurology,alternating weakness and dizziness
Endocrinology,frequent urination accompanied by redness
Gastroenterology,severe stomach pain
Gastroenterology,constipation accompanied by redness
Gynecology,worse when lying down: vaginal discharge
Dermatology,itching worsening over time
Neurology,headache accompanied by redness
Gynecology,postmenopausal bleeding since last night
Gastroenterology,intermittent episodes of constipation
Endocrinology,hot flashes with vomiting
Gastroenterology,progressive abdominal pain
Psychiatry,sudden insomnia
Psychiatry,mood swings for a week
Pediatrics,poor feeding with weakness
Orthopedics,knee pain accompanied by redness
Endocrinology,heat intolerance for several weeks
Gastroenterology,sudden onset of bloating
ENT,sudden onset of tinnitus
Cardiology,moderate irregular heartbeat
Neurology,speech difficulty with vomiting
ENT,tonsil inflammation for several days
Psychiatry,progressive memory problems from depression and memory problems from depression
Hematology,intermittent nosebleeds
Gynecology,moderate pain during intercourse
Gynecology,heavy menstrual bleeding after cold exposure
Dermatology,sun sensitivity for 2 weeks
Pediatrics,mild rash in child
ENT,sudden onset of sinus pressure
Gynecology,vaginal discharge for a month
Orthopedics,knee pain for a week
ENT,nasal congestion with sensory loss
Pulmonology,severe productive cough
Hematology,blood in stool during hot weather
ENT,burning swallowing difficulty
ENT,tinnitus for 2 days
Psychiatry,panic attacks for a week
Gynecology,alternating menstrual cramps and pain during intercourse
Pulmonology,mild coughing blood
ENT,ear pain for 2 weeks
Oncology,chronic pain for 2 weeks
Ophthalmology,sudden vision loss and fainting
ENT,hearing loss after eating
Ophthalmology,alternating sensitivity to light and sudden vision loss
Pediatrics,poor feeding after cold exposure
Pediatrics,intermittent episodes of lethargy in infant
Ophthalmology,sharp tearing
Oncology,alternating blood in cough and night sweats
Ophthalmology,progressive sensitivity to light and floaters
Pediatrics,vomiting child with associated not gaining weight
Pulmonology,alternating chest tightness and chest tightness
Gynecology,infertility for 2 days
Dermatology,progressive blisters and sun sensitivity
Cardiology,chest pain and chest pain
Oncology,chronic unexplained fatigue
Ophthalmology,severe sudden vision loss
Gynecology,breast lump during hot weather
Pulmonology,chronic exercise-induced wheeze
Endocrinology,mild frequent urination
Endocrinology,intermittent cold intolerance
Oncology,progressive night sweats and persistent fever
Gastroenterology,improved with rest: blood in stool
Orthopedics,severe knee pain
Pulmonology,exercise-induced wheeze for several weeks
Endocrinology,hot flashes
Orthopedics,back pain since last night
Pulmonology,recurrent lung infection during exercise
Gynecology,mild menstrual cramps
Gynecology,heavy menstrual bleeding accompanied by redness
Oncology,unexplained fatigue since last night
ENT,runny nose for 2 weeks
ENT,progressive hearing loss and tonsil inflammation
Hematology,easy bruising with discharge
Pulmonology,throbbing chest tightness
ENT,sinus pressure for 2 days
Cardiology,gradual onset of leg edema
Endocrinology,weight gain for a month
Dermatology,red patches with nausea
Ophthalmology,progressive eye pain
Oncology,chronic pain for a month
Oncology,moderate night sweats
Hematology,night sweats and dizziness
Pulmonology,chronic cough with associated chest tightness
Gastroenterology,throbbing bloating
Neurology,migraine with sensory loss
Oncology,recurrent blood in cough
Cardiology,swelling in legs for a month
Oncology,blood in cough for a month
Gastroenterology,constipation with weakness
Orthopedics,throbbing hip pain
Gastroenterology,alternating diarrhea and acid reflux
Dermatology,recurrent hives
Orthopedics,hip pain since last night
Ophthalmology,recurrent sudden vision loss
Pediatrics,fever in child with sensory loss
Oncology,difficulty swallowing for a month
ENT,swallowing difficulty for a week
Pediatrics,recurrent delayed milestones
Ophthalmology,floaters with blood
Cardiology,constant leg edema
Cardiology,mild irregular heartbeat
Pediatrics,high-pitched cry at night
Oncology,improved with rest: unexplained weight loss
Dermatology,sharp dry skin
Orthopedics,severe hip pain
Neurology,sudden onset of speech difficulty
Pulmonology,shortness of breath on exertion accompanied by swelling
Gastroenterology,vomiting with fever
Pulmonology,intermittent productive cough
Oncology,blood in cough for 2 days
Endocrinology,hot flashes for several weeks
Orthopedics,recurrent knee pain
Pulmonology,shortness of breath on exertion accompanied by redness
Gastroenterology,progressive bloating and stomach pain
Oncology,chronic pain for 2 days
Gynecology,gradual onset of postmenopausal bleeding
Dermatology,acne for a month
Psychiatry,persistent sadness after cold exposure
Endocrinology,menstrual irregularity with nausea
Gastroenterology,diarrhea worsening over time
Hematology,intermittent fatigue with anemia
Gastroenterology,acid reflux since last night
Neurology,headache for a week
Pulmonology,burning persistent cough
Dermatology,constant scaly skin
Pulmonology,breathing difficulty at night for 3 days
Pediatrics,vomiting child at night
Ophthalmology,blurred vision after eating
Oncology,chronic persistent fever
Oncology,worse in the morning: night sweats
Pediatrics,diarrhea child with vomiting
Gastroenterology,throbbing nausea
Cardiology,swelling in legs with associated chest pain
Pulmonology,breathing difficulty at night with discharge
Ophthalmology,floaters in the morning
Psychiatry,anxiety attacks with sensory loss
Cardiology,palpitations with vomiting
Endocrinology,sudden onset of hot flashes
Ophthalmology,constant blurred vision
Pulmonology,chronic chest tightness
Gastroenterology,abdominal pain and fainting
Cardiology,leg edema in the morning
Orthopedics,progressive joint stiffness
ENT,voice change
Orthopedics,back pain for several weeks
Gynecology,improved with rest: pain during intercourse
Neurology,throbbing headache
Endocrinology,cold intolerance with blood
Cardiology,shortness of breath worsening over time
ENT,constant tonsil inflammation
Pediatrics,intermittent diarrhea child
Endocrinology,hot flashes for a week
Gynecology,intermittent episodes of vaginal discharge
Ophthalmology,sensitivity to light in the morning
Psychiatry,suicidal thoughts for 2 weeks
ENT,sore throat with nausea
Hematology,night sweats with fever
Neurology,progressive numbness
Hematology,alternating fatigue with anemia and nosebleeds
ENT,mild ear pain
Ophthalmology,intermittent episodes of dry eyes
Oncology,loss of appetite with sensory loss
Dermatology,skin discoloration and fainting
Endocrinology,mild heat intolerance
Pulmonology,recurrent recurrent lung infection
Gastroenterology,blood in stool and dizziness
Cardiology,intermittent leg edema
Psychiatry,progressive suicidal thoughts and suicidal thoughts
Dermatology,intermittent sun sensitivity
Pediatrics,mild lethargy in infant
Gastroenterology,worse when lying down: diarrhea
Hematology,blood in stool for 2 weeks
Gynecology,progressive postmenopausal bleeding and pelvic pain
Orthopedics,limb weakness with discharge
Endocrinology,hot flashes for 3 days
Orthopedics,sudden joint stiffness
Pulmonology,recurrent persistent cough
Psychiatry,moderate anxiety attacks
Neurology,numbness with fever
Endocrinology,alternating heat intolerance and frequent urination
Pediatrics,fever in child for a month
Cardiology,sudden shortness of breath
Orthopedics,joint swelling with sensory loss
Gynecology,breast lump for 2 weeks
Dermatology,intermittent red patches
Neurology,blurred vision for 2 days
Oncology,chronic pain that prevents sleep
Oncology,difficulty swallowing and persistent fever
Pediatrics,delayed milestones accompanied by redness
Gynecology,menstrual cramps with weakness
Endocrinology,hair loss for 3 days
Pediatrics,worse in the morning: vomiting child
